track_id,Genotype,had_area_change,change_frame
0,WT,False,
1,WT,False,
2,WT,False,
3,WT,False,
4,WT,True,2.0
5,WT,False,
6,WT,False,
7,WT,True,2.0
8,WT,True,6.0
9,WT,True,0.0
10,WT,False,
11,WT,True,13.0
12,WT,False,
13,WT,False,
14,WT,False,
15,WT,False,
16,WT,True,9.0
17,WT,True,3.0
18,WT,False,
19,WT,True,0.0
20,WT,False,
21,WT,False,
22,WT,False,
23,WT,True,0.0
24,WT,False,
25,WT,False,
26,WT,True,3.0
27,WT,True,2.0
28,WT,False,
29,WT,False,
30,WT,False,
31,WT,True,56.0
32,WT,False,
33,WT,True,5.0
34,WT,False,
35,WT,True,5.0
36,WT,False,
37,WT,False,
38,WT,True,8.0
39,WT,False,
40,WT,True,1.0
41,WT,True,2.0
42,WT,False,
43,WT,False,
44,WT,False,
45,WT,False,
46,WT,False,
47,WT,False,
48,WT,False,
49,WT,False,
50,WT,False,
51,WT,False,
52,WT,True,2.0
53,WT,False,
54,WT,False,
55,WT,False,
56,WT,False,
57,WT,False,
58,WT,False,
59,WT,False,
60,WT,False,
61,WT,False,
62,WT,True,3.0
63,WT,True,1.0
64,WT,False,
65,WT,False,
66,WT,True,1.0
67,WT,False,
68,WT,True,0.0
69,WT,True,2.0
70,WT,False,
71,WT,False,
72,WT,False,
73,WT,False,
74,WT,False,
75,WT,False,
76,WT,True,0.0
77,WT,False,
78,WT,False,
79,WT,False,
80,WT,False,
81,WT,True,10.0
82,WT,False,
83,WT,True,0.0
84,WT,False,
85,WT,False,
86,WT,False,
87,WT,True,2.0
88,WT,False,
89,WT,False,
90,WT,False,
91,WT,False,
92,WT,False,
93,WT,True,9.0
94,WT,False,
95,WT,False,
96,WT,False,
97,WT,False,
98,WT,False,
99,WT,False,
100,WT,True,1.0
101,WT,False,
102,WT,False,
103,WT,False,
104,WT,False,
105,WT,False,
106,WT,False,
107,WT,False,
108,WT,True,2.0
109,WT,False,
110,WT,False,
111,WT,False,
112,WT,False,
113,WT,False,
114,WT,True,7.0
115,WT,False,
116,WT,True,2.0
117,WT,False,
118,WT,False,
119,WT,False,
120,WT,False,
121,WT,False,
122,WT,True,0.0
123,WT,True,0.0
124,WT,False,
125,WT,True,0.0
126,WT,False,
127,WT,False,
128,WT,False,
129,WT,False,
130,WT,False,
131,WT,False,
132,WT,False,
133,WT,False,
134,WT,False,
135,WT,False,
136,WT,True,2.0
137,WT,False,
138,WT,True,2.0
139,WT,False,
140,WT,False,
141,WT,False,
142,WT,False,
143,WT,False,
144,WT,False,
145,WT,False,
146,WT,False,
147,WT,True,1.0
148,WT,False,
149,WT,False,
150,WT,False,
151,WT,False,
152,WT,False,
153,WT,False,
154,WT,False,
155,WT,False,
156,WT,False,
157,WT,True,0.0
158,WT,True,1.0
159,WT,False,
160,WT,False,
161,WT,False,
162,WT,False,
163,WT,True,0.0
164,WT,False,
165,WT,False,
166,WT,False,
167,WT,False,
168,WT,False,
169,WT,False,
170,WT,False,
171,WT,False,
172,WT,False,
173,WT,False,
174,WT,False,
175,WT,False,
176,WT,False,
177,WT,False,
178,WT,False,
179,WT,False,
180,WT,False,
181,WT,False,
182,WT,True,24.0
183,WT,False,
184,WT,True,4.0
185,WT,False,
186,WT,False,
187,WT,False,
188,WT,False,
189,WT,False,
190,WT,False,
191,WT,True,1.0
192,WT,False,
193,WT,False,
194,WT,False,
195,WT,False,
196,WT,False,
197,WT,False,
198,WT,True,8.0
199,WT,True,0.0
200,WT,True,2.0
201,WT,False,
202,WT,False,
203,WT,False,
204,WT,False,
205,WT,False,
206,WT,False,
207,WT,True,0.0
208,WT,False,
209,WT,False,
210,WT,False,
211,WT,False,
212,WT,False,
213,WT,False,
214,WT,True,5.0
215,WT,False,
216,WT,True,3.0
217,WT,False,
218,WT,False,
219,WT,False,
220,WT,False,
221,WT,False,
222,WT,False,
223,WT,False,
224,WT,True,0.0
225,WT,False,
226,WT,False,
227,WT,False,
228,WT,False,
229,WT,False,
230,WT,False,
231,WT,True,6.0
232,WT,False,
233,WT,False,
234,WT,False,
235,WT,False,
236,WT,False,
237,WT,False,
238,WT,True,0.0
239,WT,False,
240,WT,True,6.0
241,WT,False,
242,WT,False,
243,WT,False,
244,WT,False,
245,WT,False,
246,WT,False,
247,WT,True,0.0
248,WT,False,
249,WT,False,
250,WT,False,
251,WT,False,
252,WT,False,
253,WT,False,
254,WT,False,
255,WT,False,
256,WT,False,
257,WT,False,
258,WT,False,
259,WT,False,
260,WT,False,
261,WT,False,
262,WT,False,
263,WT,False,
264,WT,False,
265,WT,True,0.0
266,WT,False,
