from_state,to_state,probability
persistent,persistent,0.26726604004903964
reversing,persistent,0.21844371844371843
start,persistent,0.2324621733149931
stationary,persistent,0.0
turning,persistent,0.15830491962981003
persistent,reversing,0.5946056395586432
reversing,reversing,0.6073656073656074
start,reversing,0.5763411279229711
stationary,reversing,0.0
turning,reversing,0.5353141743789577
persistent,start,0.002043318348998774
reversing,start,0.011434511434511435
start,start,0.0
stationary,start,1.0
turning,start,0.00974184120798831
persistent,turning,0.13608500204331836
reversing,turning,0.16275616275616275
start,turning,0.19119669876203577
stationary,turning,0.0
turning,turning,0.29663906478324403
