Indicator,Type,total_injured,total_uninjured,injury_ratio,injury_index,injured_cv,uninjured_cv
Pax7,Mutant,143,66,0.6842105263157895,0.3684210526315789,0.2190274092778437,0.1928473039599675
Pax7,WT,163,53,0.7546296296296297,0.5092592592592593,0.200830073897825,0.20771862557770393
MyoG,Mutant,210,42,0.8333333333333334,0.6666666666666666,0.2937623125867175,0.4303314829119352
MyoG,WT,161,41,0.7970297029702971,0.594059405940594,0.1149487920703214,0.18088288992916252
GFP,Mutant,142,45,0.7593582887700535,0.5187165775401069,0.16617330933805777,0.43614472623456335
GFP,WT,146,33,0.8156424581005587,0.6312849162011173,0.10610913277280594,0.3187825017789798
BrdU,Mutant,228,35,0.8669201520912547,0.7338403041825095,0.07627040392731284,0.39713257951757847
BrdU,WT,274,50,0.845679012345679,0.691358024691358,0.1139247475335864,0.22342784070030305
GFP/BrdU,Mutant,66,13,0.8354430379746836,0.6708860759493671,0.21513017393089512,0.6793662204867574
GFP/BrdU,WT,104,25,0.8062015503875969,0.6124031007751938,0.19102133879168384,0.3028751117760146
