label,area,perimeter,eccentricity,solidity,orientation,centroid_y,centroid_x,stack,frame,Genotype
1,1103,233.1959594928933,0.987662970925801,0.7266139657444005,-1.4915173357300007,471.79963735267455,249.99637352674523,WT-1.tif,0,WT
2,742,183.88225099390857,0.987708192941695,0.7673216132368149,1.5225200293570764,464.8800539083558,448.9433962264151,WT-1.tif,0,WT
3,95,46.14213562373095,0.9640653086749866,0.9134615384615384,1.3441970686629676,468.18947368421055,356.7368421052632,WT-1.tif,0,WT
4,479,134.08326112068522,0.8630341190457864,0.5877300613496933,0.987039773825786,488.86012526096033,198.18162839248436,WT-1.tif,0,WT
5,154,48.21320343559643,0.44030320020844993,0.88,1.3586838186955943,487.1038961038961,254.85714285714286,WT-1.tif,0,WT
6,388,81.59797974644665,0.8898530388692281,0.9533169533169533,0.7499338178606858,626.7139175257732,602.1030927835052,WT-1.tif,0,WT
7,138,50.62741699796952,0.9240525945714881,0.9019607843137255,-1.3111970373252084,673.2608695652174,434.5289855072464,WT-1.tif,0,WT
8,353,98.18376618407356,0.9776546295664764,0.9005102040816326,1.3050458953433997,691.4164305949008,577.8951841359774,WT-1.tif,0,WT
9,235,70.66904755831214,0.9268720769988089,0.91796875,0.6041069871363266,728.9148936170212,737.7106382978724,WT-1.tif,0,WT
10,727,160.36753236814712,0.9263797602857258,0.7212301587301587,-0.8950358950192363,746.242090784044,578.60522696011,WT-1.tif,0,WT
11,472,111.63961030678928,0.9613110723339093,0.8855534709193246,1.0191306387476615,747.3813559322034,643.1419491525423,WT-1.tif,0,WT
12,516,135.63961030678928,0.9390414743699316,0.6539923954372624,1.0090807214900446,762.1240310077519,527.3158914728682,WT-1.tif,0,WT
13,234,70.14823227814084,0.8542277739613716,0.8897338403041825,0.5055946330086766,811.7991452991453,455.38034188034186,WT-1.tif,0,WT
14,255,65.59797974644665,0.8872046325801292,0.9272727272727272,0.8287028302416896,811.0666666666667,592.3764705882353,WT-1.tif,0,WT
15,98,42.31370849898476,0.9419236024361001,0.9074074074074074,1.4628394530417264,816.9897959183673,513.0612244897959,WT-1.tif,0,WT
16,103,46.55634918610404,0.952538998846921,0.8956521739130435,1.3765453904279028,819.0388349514564,540.0873786407767,WT-1.tif,0,WT
17,381,90.59797974644667,0.92878088321484,0.8778801843317973,-1.4321122564557234,826.8320209973754,478.7690288713911,WT-1.tif,0,WT
18,651,152.8467170879758,0.9781042024053226,0.8335467349551856,1.2277343057458068,838.0675883256529,606.7235023041475,WT-1.tif,0,WT
19,456,97.2193000900063,0.7497215683077175,0.8428835489833642,1.4457522730323673,842.6491228070175,676.1622807017544,WT-1.tif,0,WT
20,110,42.62741699796952,0.8972013636502698,0.9016393442622951,0.8582285052947782,842.7545454545455,708.2818181818182,WT-1.tif,0,WT
21,666,180.22539674441617,0.9853445877477824,0.752542372881356,1.53697771556259,855.5615615615616,816.7312312312313,WT-1.tif,0,WT
22,392,81.84062043356595,0.8816501227435545,0.9400479616306955,0.7728032611435751,866.5408163265306,706.484693877551,WT-1.tif,0,WT
23,682,154.4386001800126,0.901192098084082,0.7741203178206584,1.3825879468945261,881.5439882697947,518.0777126099707,WT-1.tif,0,WT
24,442,104.39696961966999,0.9517679640354665,0.9057377049180327,0.8731875624301303,883.3461538461538,758.0090497737557,WT-1.tif,0,WT
25,232,79.14823227814084,0.9754046791583032,0.8992248062015504,-1.2008365408501385,879.1594827586207,628.4137931034483,WT-1.tif,0,WT
26,669,162.5685424949238,0.9883958911201014,0.8991935483870968,-1.3146568200297495,905.4424514200299,676.50822122571,WT-1.tif,0,WT
27,324,99.81118318204308,0.9729065482102331,0.8503937007874016,0.9624072170066046,914.7345679012345,625.5185185185185,WT-1.tif,0,WT
28,403,104.18376618407358,0.9445449455908278,0.8574468085106383,1.205804698691511,932.5856079404466,839.136476426799,WT-1.tif,0,WT
