track_id,genotype,cluster
1,WT,0
4,WT,0
5,WT,1
6,WT,1
7,WT,1
8,WT,1
9,WT,1
10,WT,1
11,WT,1
13,WT,1
16,WT,1
17,WT,1
19,WT,1
20,WT,0
21,WT,1
22,WT,1
23,WT,0
25,WT,1
26,WT,1
27,WT,0
29,WT,1
31,WT,1
33,WT,1
35,WT,1
38,WT,1
40,WT,1
48,WT,1
52,WT,0
60,WT,1
62,WT,1
63,WT,1
68,WT,1
69,WT,1
76,WT,0
78,WT,1
81,WT,1
83,WT,1
87,WT,0
93,WT,0
100,WT,1
108,WT,1
114,WT,1
122,WT,1
123,WT,1
125,WT,1
127,WT,1
132,WT,1
136,WT,1
138,WT,1
147,WT,1
154,WT,1
158,WT,1
169,WT,1
182,WT,1
188,WT,1
191,WT,1
198,WT,1
199,WT,0
207,WT,1
214,WT,1
216,WT,1
222,WT,1
224,WT,0
231,WT,1
238,WT,1
240,WT,1
247,WT,1
248,WT,1
265,WT,1
270,WT,0
286,WT,1
295,WT,1
299,WT,1
309,WT,1
313,WT,1
314,WT,1
318,WT,1
319,WT,1
321,WT,1
336,WT,1
338,WT,1
344,WT,1
345,WT,1
355,WT,1
365,WT,1
372,WT,1
374,WT,1
376,WT,1
379,WT,1
381,WT,1
384,WT,1
396,WT,1
397,WT,1
398,WT,0
399,WT,1
401,WT,1
405,WT,1
424,WT,0
426,WT,0
430,WT,0
432,WT,1
433,WT,0
434,WT,1
437,WT,0
440,WT,0
441,WT,1
444,WT,1
449,WT,0
451,WT,0
452,WT,1
457,WT,0
459,WT,1
460,WT,0
461,WT,1
465,WT,1
468,WT,1
469,WT,1
477,WT,1
483,WT,0
485,WT,1
497,WT,0
499,WT,0
501,WT,1
506,WT,0
508,WT,0
511,WT,0
512,WT,0
519,WT,0
524,WT,1
525,WT,0
536,WT,1
538,WT,1
542,WT,0
544,WT,1
545,WT,1
546,WT,1
547,WT,1
549,WT,1
552,WT,1
553,WT,1
554,WT,0
555,WT,1
556,WT,1
558,WT,1
560,WT,1
561,WT,1
562,WT,1
563,WT,1
564,WT,1
565,WT,1
566,WT,1
567,WT,1
588,WT,1
589,WT,0
598,WT,1
602,WT,1
604,WT,1
605,WT,1
623,WT,1
625,WT,1
626,WT,0
632,WT,1
639,WT,1
642,WT,1
644,WT,0
646,WT,1
651,WT,1
653,WT,1
658,WT,1
659,WT,1
660,WT,1
663,WT,1
667,WT,1
668,WT,1
671,WT,1
676,WT,1
678,WT,1
681,WT,1
687,WT,1
688,WT,1
691,WT,1
694,WT,1
697,WT,1
699,WT,1
700,WT,1
703,WT,1
709,WT,0
710,WT,1
716,WT,1
728,WT,1
730,WT,1
731,WT,1
734,WT,1
740,WT,1
741,WT,1
748,WT,1
749,WT,1
759,WT,1
777,WT,1
779,WT,1
781,WT,1
783,WT,1
787,WT,1
797,WT,1
802,WT,1
803,WT,1
811,WT,1
814,WT,1
818,WT,1
822,WT,1
829,WT,1
833,WT,1
840,WT,1
842,WT,1
846,WT,1
855,WT,1
857,WT,1
863,WT,1
864,WT,1
869,WT,1
870,WT,1
871,WT,1
874,WT,1
876,WT,1
886,WT,1
898,WT,1
900,WT,1
902,WT,0
909,WT,1
912,WT,1
919,WT,1
923,WT,1
927,WT,1
932,WT,1
939,WT,1
943,WT,1
944,WT,1
945,WT,1
953,WT,1
954,WT,1
957,WT,1
965,WT,1
970,WT,1
973,WT,1
976,WT,1
984,WT,1
985,WT,1
991,WT,1
999,WT,1
1001,WT,1
1003,WT,0
1004,WT,1
1005,WT,1
1012,WT,1
1016,WT,1
1028,WT,1
1042,WT,0
1043,WT,1
1046,WT,1
1048,WT,0
1050,WT,1
1051,WT,1
1052,WT,1
1053,WT,0
1055,WT,0
1057,WT,0
1059,WT,0
1061,WT,1
1062,WT,0
1063,WT,0
1064,WT,0
1065,WT,1
1066,WT,0
1068,WT,0
1070,WT,1
1073,WT,0
1074,WT,1
1080,WT,1
1086,WT,1
1095,WT,0
1096,WT,0
1098,WT,0
1102,WT,1
1104,WT,1
1108,WT,1
1117,WT,0
1119,WT,1
1120,WT,1
1121,WT,0
1122,WT,0
1132,WT,0
1134,WT,1
1140,WT,0
1145,WT,1
1146,WT,1
1162,WT,1
1165,WT,1
1167,WT,1
1168,WT,0
1181,WT,0
1182,WT,1
1183,WT,1
1185,WT,1
1186,WT,1
1188,WT,1
1189,WT,1
1190,WT,0
1193,WT,1
1195,WT,1
1196,WT,0
1199,WT,1
1204,WT,1
1209,WT,0
1214,WT,1
1216,WT,1
1217,WT,0
1219,WT,1
1220,WT,1
1222,WT,1
1232,WT,1
1234,WT,1
1235,WT,1
1240,WT,1
1246,WT,1
1247,WT,1
1254,WT,1
1257,WT,1
