track_id,Genotype,start,end,duration
0,WT,0,2,3
1,WT,0,23,24
2,WT,0,2,3
3,WT,0,3,4
4,WT,0,19,73
5,WT,0,4,5
6,WT,0,4,5
7,WT,0,3,7
8,WT,0,11,12
9,WT,0,19,58
10,WT,0,10,11
11,WT,0,14,15
12,WT,0,2,3
13,WT,0,12,13
14,WT,0,2,3
15,WT,0,2,3
16,WT,0,119,442
17,WT,0,9,10
18,WT,0,0,1
19,WT,0,27,57
20,WT,0,21,22
21,WT,0,4,5
22,WT,0,8,9
23,WT,0,10,14
24,WT,0,0,1
25,WT,0,27,28
26,WT,0,4,8
27,WT,0,23,41
28,WT,0,1,2
29,WT,0,4,5
30,WT,2,2,1
31,WT,3,60,58
32,WT,3,3,1
33,WT,3,16,17
34,WT,4,4,1
35,WT,4,37,37
36,WT,4,6,3
37,WT,4,5,2
38,WT,4,16,13
39,WT,5,5,1
40,WT,6,24,31
41,WT,6,9,4
42,WT,6,7,2
43,WT,7,7,1
44,WT,7,9,3
45,WT,8,8,1
46,WT,8,9,2
47,WT,8,8,1
48,WT,8,12,5
49,WT,9,11,3
50,WT,10,12,3
51,WT,10,12,3
52,WT,10,25,19
53,WT,11,11,1
54,WT,12,13,2
55,WT,12,12,1
56,WT,13,14,2
57,WT,13,14,2
58,WT,13,16,4
59,WT,13,14,2
60,WT,13,19,7
61,WT,13,14,2
62,WT,14,18,5
63,WT,14,21,16
64,WT,15,15,1
65,WT,15,17,3
66,WT,15,18,4
67,WT,16,18,3
68,WT,16,47,32
69,WT,16,20,19
70,WT,16,16,1
71,WT,16,16,1
72,WT,17,18,2
73,WT,17,18,2
74,WT,18,19,2
75,WT,18,18,1
76,WT,19,24,12
77,WT,20,20,1
78,WT,20,27,8
79,WT,20,22,3
80,WT,20,20,1
81,WT,21,106,109
82,WT,21,21,1
83,WT,21,48,28
84,WT,21,21,1
85,WT,21,23,3
86,WT,21,24,4
87,WT,22,26,5
88,WT,22,22,1
89,WT,23,23,1
90,WT,23,23,1
91,WT,24,24,1
92,WT,24,24,1
93,WT,24,35,12
94,WT,25,26,2
95,WT,25,25,1
96,WT,25,26,2
97,WT,26,28,3
98,WT,26,27,2
99,WT,27,27,1
100,WT,27,33,7
101,WT,27,28,2
102,WT,27,27,1
103,WT,27,27,1
104,WT,27,27,1
105,WT,27,27,1
106,WT,28,28,1
107,WT,28,28,1
108,WT,28,35,11
109,WT,28,30,3
110,WT,29,29,1
111,WT,29,29,1
112,WT,29,29,1
113,WT,29,29,1
114,WT,29,45,29
115,WT,29,29,1
116,WT,30,31,5
117,WT,30,30,1
118,WT,30,31,2
119,WT,30,30,1
120,WT,31,33,3
121,WT,31,32,2
122,WT,32,39,8
123,WT,32,39,11
124,WT,32,33,2
125,WT,32,45,36
126,WT,32,34,3
127,WT,32,43,12
128,WT,32,32,1
