metric,n,n_nonnull,pct_missing,pct_zero,min,p25,median,p75,max,skewness
D_est_x,4263,1763,58.64,0.0,0.0281548396506374,4.4895939087664924,14.580137598182832,35.19697437733732,285807.9239869994,18.2728
D_est_y,4263,1763,58.64,0.0,0.0281548396506374,4.4895939087664924,14.580137598182832,35.19697437733732,285807.9239869994,18.2728
D_est,4263,1763,58.64,0.0,0.0281548396506374,4.4895939087664924,14.580137598182832,35.19697437733732,285807.9239869994,18.2728
total_path_length,4263,4263,0.0,44.12,0.0,0.0,2.91431673569362,33.39911448858295,5366.956233333349,8.2591
P_est_y,4263,1763,58.64,0.0,2.510656695388914e-10,5.858418552222195e-08,1.7056787814985517e-07,6.151783259796197e-07,5242.156716319523,7.0455
P_est_x,4263,1763,58.64,0.0,2.510656695388914e-10,5.858418552222195e-08,1.7056787814985517e-07,6.151783259796197e-07,5242.156716319523,7.0455
P_est,4263,1763,58.64,0.0,2.510656695388914e-10,5.858418552222195e-08,1.7056787814985517e-07,6.151783259796197e-07,5242.156716319523,7.0455
num_frames,4263,4263,0.0,0.0,1.0,1.0,2.0,5.0,210.0,5.7225
speed_trend_slope,4263,1763,58.64,0.0,-4.017804221613714,0.1080218859499839,0.7243178396606087,2.159234010098018,36.24124197800373,3.7814
K,4263,1763,58.64,0.0,0.287460241860574,29.446766530611075,134.00617619330484,344.45834799256494,3530.9959133346256,3.1928
K_x,4263,1763,58.64,0.0,0.287460241860574,29.446766530611075,134.00617619330484,344.45834799256494,3530.9959133346256,3.1928
K_y,4263,1763,58.64,0.0,0.287460241860574,29.446766530611075,134.00617619330484,344.45834799256494,3530.9959133346256,3.1928
area_delta_max,4263,4263,0.0,44.31,0.0,0.0,27.0,221.5,3168.0,3.0769
perimeter_delta_max,4263,4263,0.0,44.12,0.0,0.0,6.414213562373096,54.556349186104036,663.097546470558,2.8922
eccentricity_delta_max,4263,4263,0.0,44.12,0.0,0.0,0.0070366873290805,0.09713189779378095,1.0,2.7566
area_mean,4263,4263,0.0,0.0,1.0,165.24264705882354,294.875,486.0714285714286,3173.0,2.7172
early_area_mean,4263,1763,58.64,0.0,30.0,210.86666666666667,355.77777777777777,534.3363636363636,3524.0,2.6991
perimeter_mean,4263,4263,0.0,0.61,0.0,58.80203820042827,85.80876618407356,122.14180557588733,731.8904396893714,2.6909
net_displacement,4263,4263,0.0,44.12,0.0,0.0,1.6763373005093698,11.331269327910542,108.74753804533158,2.4018
late_area_mean,4263,1763,58.64,0.0,1.0,203.41666666666666,330.1428571428572,514.3103448275863,2949.0,2.3369
mean_speed,4263,4263,0.0,44.12,0.0,0.0,1.2078466431897013,6.986593253115547,52.21331165804629,2.0847
max_speed,4263,4263,0.0,44.12,0.0,0.0,2.3418981396499547,17.624959303664795,137.74311337764823,2.0273
