metric,dtype,n_missing,pct_missing
temporal_persistence,float64,2856,67.0
directional_consistency,float64,2856,67.0
P_est_y,float64,2500,58.64
alpha,float64,2500,58.64
K_y,float64,2500,58.64
alpha_y,float64,2500,58.64
P_est_x,float64,2500,58.64
D_est_y,float64,2500,58.64
alpha_x,float64,2500,58.64
K,float64,2500,58.64
D_est,float64,2500,58.64
P_est,float64,2500,58.64
speed_trend_slope,float64,2500,58.64
late_area_mean,float64,2500,58.64
area_volatility,float64,2500,58.64
late_speed_mean,float64,2500,58.64
early_area_mean,float64,2500,58.64
speed_cv,float64,2500,58.64
area_trend_slope,float64,2500,58.64
eccentricity_trend_slope,float64,2500,58.64
late_eccentricity_mean,float64,2500,58.64
speed_acceleration,float64,2500,58.64
early_speed_mean,float64,2500,58.64
D_est_x,float64,2500,58.64
K_x,float64,2500,58.64
early_eccentricity_mean,float64,2500,58.64
eccentricity_slope,float64,1881,44.12
persistence_fraction,float64,1881,44.12
directionality_ratio,float64,1881,44.12
area_slope,float64,1881,44.12
orientation_slope,float64,1881,44.12
solidity_slope,float64,1881,44.12
perimeter_slope,float64,1881,44.12
num_frames,float64,0,0.0
total_path_length,float64,0,0.0
area_delta_mean,float64,0,0.0
area_mean,float64,0,0.0
mean_speed,float64,0,0.0
net_displacement,float64,0,0.0
n_stationary,float64,0,0.0
max_speed,float64,0,0.0
perimeter_mean,float64,0,0.0
area_delta_max,int64,0,0.0
solidity_delta_max,float64,0,0.0
orientation_delta_max,float64,0,0.0
orientation_delta_mean,float64,0,0.0
eccentricity_delta_mean,float64,0,0.0
eccentricity_delta_max,float64,0,0.0
solidity_mean,float64,0,0.0
perimeter_delta_mean,float64,0,0.0
perimeter_delta_max,float64,0,0.0
eccentricity_mean,float64,0,0.0
orientation_mean,float64,0,0.0
solidity_delta_mean,float64,0,0.0
r_peak,float64,0,0.0
g_peak,float64,0,0.0
corr_length,float64,0,0.0
