metric,transform
num_frames,log1p
total_path_length,log1p
net_displacement,log1p
directionality_ratio,log1p
mean_speed,log1p
max_speed,log1p
n_stationary,log1p
persistence_fraction,log1p
alpha_x,none
K_x,log1p
D_est_x,log1p
P_est_x,log1p
alpha_y,none
K_y,log1p
D_est_y,log1p
P_est_y,log1p
alpha,none
K,log1p
D_est,log1p
P_est,log1p
area_mean,log1p
area_delta_mean,none
area_delta_max,log1p
area_slope,none
perimeter_mean,log1p
perimeter_delta_mean,none
perimeter_delta_max,log1p
perimeter_slope,none
eccentricity_mean,log1p
eccentricity_delta_mean,none
eccentricity_delta_max,log1p
eccentricity_slope,none
solidity_mean,log1p
solidity_delta_mean,none
solidity_delta_max,log1p
solidity_slope,none
orientation_mean,none
orientation_delta_mean,none
orientation_delta_max,log1p
orientation_slope,none
early_speed_mean,log1p
late_speed_mean,log1p
speed_trend_slope,none
speed_acceleration,none
early_area_mean,log1p
late_area_mean,log1p
area_trend_slope,none
area_volatility,log1p
early_eccentricity_mean,log1p
late_eccentricity_mean,log1p
eccentricity_trend_slope,none
temporal_persistence,none
speed_cv,log1p
directional_consistency,log1p
r_peak,log1p
g_peak,log1p
corr_length,log1p
